Plant,Count of Images,PlantName,Disease,How to Identify?,Management
Apple___Apple_scab,630,Apple,Apple_scab,"Leaf spots are round, olive-green in color and up to ½-inch across.  Spots are velvet-like with fringed borders.  As they age, leaf spots turn dark brown to black, get bigger and grow together. Leaf spots often form along the leaf veins. Leaves with many leaf spots turn yellow and drop by mid-summer. Infected fruit have olive-green spots that turn brown and corky with time. Fruit that are infected when very young become deformed and cracked as the fruit grows.","Clean up leaves in fall
Remove fallen leaves in fall to get rid of places where the fungus can survive the winter to re-infect trees the next year. Even with good fall clean up of fallen leaves, spores from nearby apple trees could travel to your property, starting the infection cycle again. 
Plant and prune correctly
The apple scab fungus needs moisture on the leaves to start a new infection. A well pruned tree with an open canopy allows air to move through the tree and dry the leaves quickly. This can help reduce the severity of apple scab in a tree.
Fungicides can be used:
To protect fruit trees from leaf loss and fruit infection, on trees where fruit quality is important (i.e. apples for eating fresh) and the tree has a history of severe apple scab.
To improve the health of a tree that has lost the majority of its leaves to apple scab over 3 years in a row."
Apple___Black_rot,621,Apple,Black_rot,"Leaf symptomsInfected leaves develop ""frog-eye leaf spot.”The se are circular spots with purplish or reddish edges and light tan interiors.","Practice good sanitation

Reduce sources of spores for future infections: 
Prune out dead or diseased branches.
Pick all dried and shriveled fruits remaining on the trees.
Remove infected plant material from the area.
All infected plant parts should be burned, buried or sent to a municipal composting site.
Be sure to remove the stumps of any apple trees you cut down. Dead stumps can be a source of spores.

Fungicide sprays are usually not needed for managing black rot.
Consider using fungicides only after you’ve used good cultural practices and the disease hasn’t gone away.
Captan and sulfur products are labeled for control of both scab and black rot. A scab spray program including these chemicals may help prevent the frog-eye leaf spot of black rot, as well as the infection of fruit. These sprays will not control or prevent infection of branches.
"
Apple___Cedar_apple_rust,275,Apple,Cedar_apple_rust,"On apple and crab-apple trees, look for pale yellow pinhead sized spots on the upper surface of the leaves shortly after bloom. These gradually enlarge to bright orange-yellow spots which make the disease easy to identify. Orange spots may develop on the fruit as well. Heavily infected leaves may drop prematurely.","Treatment
Choose resistant cultivars when available.
Rake up and dispose of fallen leaves and other debris from under trees.
Remove galls from infected junipers. In some cases, juniper plants should be removed entirely.
Apply preventative, disease-fighting fungicides labeled for use on apples weekly, starting with bud break, to protect trees from spores being released by the juniper host. This occurs only once per year, so additional applications after this springtime spread are not necessary.
On juniper, rust can be controlled by spraying plants with a copper solution (0.5 to 2.0 oz/ gallon of water) at least four times between late August and late October.
Safely treat most fungal and bacterial diseases with SERENADE Garden. This broad spectrum bio-fungicide uses a patented strain of Bacillus subtilis that is registered for organic use. Best of all, SERENADE is completely non-toxic to honey bees and beneficial insects.
Containing sulfur and pyrethrins, Bonide® Orchard Spray is a safe, one-hit concentrate for insect attacks and fungal problems. For best results, apply as a protective spray (2.5 oz/ gallon) early in the season. If disease, insects or wet weather are present, mix 5 oz in one gallon of water. Thoroughly spray all parts of the plant, especially new shoots."
Cherry___Powdery_mildew,1052,Cherry,Powdery_mildew,"Initial symptoms, often occurring 7 to 10 days after the onset of the first irrigation, are light roughly-circular, powdery looking patches on young, susceptible leaves (newly unfolded, and light green expanding leaves). Older leaves develop an age-related (ontogenic) resistance to powdery mildew and are naturally more resistant to infection than younger leaves. Look for early leaf infections on root suckers, the interior of the canopy or the crotch of the tree where humidity is high. In contrast to other fungi, powdery mildews do not need free water to germinate but germination and fungal growth are favored by high humidity. The disease is more likely to initiate on the undersides (abaxial) of leaves but will occur on both sides at later stages. As the season progresses and infection is spread by wind, leaves may become distorted, curling upward. Severe infections may cause leaves to pucker and twist. Newly developed leaves on new shoots become progressively smaller, are often pale and may be distorted.

Early fruit infections are difficult to identify and you will need a hand lens to identify the start of fungal growth in the area where the stem connects to the fruit.","Manage irrigation. In the arid west in a typical dry spring, early irrigation may stimulate early cherry powdery mildew infections.
Pruning. Humid conditions favor cherry powdery mildew. A well pruned canopy will promote more air flow and leaf drying, reducing these humid conditions favorable for disease. Pruning will also help to achieve good spray coverage.
Root sucker management. Root suckers are a preferred by powdery mildews since they are comprised of highly susceptible leaf tissue. Root suckers are close to the irrigation and high humidity levels favor the onset and spread of infections. Additionally, sprays aimed at the canopy often do not protect root suckers allowing fungal inocula to survive all season. Remove root suckers to eliminate this source for infection of the canopy and fruit.
The key to managing powdery mildew on the fruit is to keep the disease off of the leaves. Most synthetic fungicides are preventative, not eradicative, so be pro-active about disease prevention. Maintain a consistent program from shuck fall through harvest. Consider post-harvest preventative measures (e.g. application of sulfur, prevent trees from pushing for leaf growth) to obstruct the fungus from overwintering "
Corn___Northern_Leaf_Blight,985,Corn,Northern_Leaf_Blight,"The tan lesions of northern corn leaf blight are slender and oblong tapering at the ends ranging in size between 1 to 6 inches.
Lesions run parallel to the leaf margins beginning on the lower leaves and moving up the plant. They may coalesce and cover the enter leaf.
Spores are produced on the underside of the leaf below the lesions giving the appearance of a dusty green fuzz","Northern corn leaf blight can be managed through the use of resistant hybrids.
Additionally, timely planting can be useful for avoiding conditions that favor the disease."
Corn___Common_rust,1192,Corn,Common_rust,"Common rust produces rust-colored to dark brown, elongated pustules on both leaf surfaces. The pustules contain rust spores (urediniospores) that are cinnamon brown in color. Pustules darken as they age. Leaves, as well as sheaths, can be infected. Under severe conditions leaf chlorosis and death may occur. Common rust can be differentiated from Southern rust by the brown pustules occurring on both top and bottom leaf surfaces with common rust.",
Corn___Cercospora_leaf_spot Gray_leaf_spot,513,Corn,Cercospora_leaf_spot Gray_leaf_spot,"The best management practice is to use resistant corn hybrids. Fungicides can also be beneficial, especially if applied early when few pustules have appeared on the leaves.",
Grape___Black_rot,1180,Grape,Black_rot,"Disease development is favored by warm and humid weather. Symptoms of black rot first appear as small yellow spots on leaves. Enlarged spots (lesions) have a dark brownish-red border with tan to dark brown centers. As the infection develops, tiny black dots appear in the lesion, usually in a ring pattern near the border of the lesion. These dots are fungal structures (pycnidia), which contain thousands of spores (conidia) that can infect new tissue. New infections can occur in less than 10 hours at temperatures between 60 to 85 degrees Fahrenheit.

Lesions on shoots, cluster stems, rachises and tendrils are oval shaped and sunken with a purple to black color. Fruit symptoms don’t usually begin to appear until the grape berries are pea size or larger. Brown spots form on the fruit and then the fruit start to shrivel and turn black. The berries will eventually shrivel into hard raisin-like structures called mummies. The mummies usually remain attached to the cluster. Pycnidia also form in shoots, cluster stems, rachises, tendrils and mummies, and are a source of conidia (and infections) the following spring. A second type of spore, an ascospore, is also produced in fruit mummies.

In the spring, ascospores are forcibly released into the air and spread to new tissues.","All cultivated varieties (American, French Hybrid or vinifera) of grapes are susceptible to infection by the black rot fungus. However, over the growing season, berries become resistant to black rot infections. Concord is one of the first varieties to become resistant, while V. vinifera varieties are the latest to obtain resistance. Across the varieties, resistance occurs four to six weeks after bloom.
Sanitation plays an important part in limiting the amount of black rot inoculum found in a vineyard. If only a few leaf lesions appear in the spring, these should be removed. The removal of diseased tendrils and canes through pruning during the dormant season will reduce the amount of spores available to cause infections in the spring. However, the removal of mummies either on the vineyard floor or remaining in the canopy, will have the largest impact in reducing black rot disease in the vineyard. Mummies in the canopy provide inoculum much later into the season than those that have fallen to the vineyard floor and thus should be given priority for removal. In small plantings, removal of diseased fruit when they are first observed is encouraged. Any mummies remaining in the canopy at the end of the season should be dropped to the ground and buried.
Fungicides, applied early in the growing season, are a critical component of a black rot management program. The most effective spray program targets the period prior to bloom when spore production peaks. Fungicides should be sprayed during the period from early bloom through three to four weeks after bloom."
Grape___Esca_(Black_Measles),1383,Grape,Esca_(Black_Measles),"The foliar symptom of Esca is an interveinal ""striping"". The ""stripes"", which start out as dark red in red cultivars and yellow in white cultivars, dry and become necrotic. Foliar symptoms may occur at any time during the growing season, but are most prevalent during July and August. They are often restricted to an individual shoot or to shoots originating from the same spur or cane.","Presently, there are no effective management strategies for measles. Wine grape growers with small vineyards will often have field crews remove infected fruit prior to harvest. Raisins affected by measles will be discarded during harvest or at the packing house, while table grape growers will leave affected fruit on the vine. Current research is focused on protecting pruning wounds from fungal infections to minimize suspect fungi from colonizing fresh wounds."
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1076,Grape,Leaf_blight_(Isariopsis_Leaf_Spot),"Grape black rot is a severe disease that attacks the grape plant and appears clearly on its leaves. It is caused by the Guignardia Bidwell fungus. Black rot is a severe threat to grape production, with losses in the range of 5–80%.","The most widely used fungicide to control diseases of grapevine is Bordeaux mixture, a copper fungicide. However, like all copper compounds, this fungicide may produce symptoms of toxicity in young plant tissues, and the corrosive action of the fungicide may compromise the structure of the vine.
Accordingly, it is necessary to use alternative methods to control diseases that occur in organic agriculture. Among these alternative methods are the induction of resistance in plants and the use of natural bioactive substances with antimicrobial activity. In this context, the use of essential oils extracted from medicinal plants that contain secondary compounds can have both fungitoxic actions (antimicrobial action) and facilitate resistance by activating defense mechanisms in plants (indirect antimicrobial action). For these reasons, the use of these essential oils may represent a promising alternative in organic agriculture."
