Plant,min,mean,max,Q1,Q3
Apple___Apple_scab,0.000762939,1.336252122,22.94158936,0.434684753,1.833534241
Apple___Black_rot,0,1.46924693,12.07962036,0.553894043,2.104949951
Apple___Cedar_apple_rust,0.440979004,3.93928944,48.34213257,1.736831665,4.544448853
Apple___healthy,0,0.731887585,45.79620361,0,0.173187256
Background_without_leaves,0.001017253,5.749913102,55.99060059,2.258300781,7.568359375
Blueberry___healthy,0,3.700870966,46.89331055,0.185585022,1.656913757
Cherry___Powdery_mildew,0,1.313516305,41.68243408,0.199127197,1.671028137
Cherry___healthy,0,0.13813671,22.58224487,0,0.201416016
Corn___Cercospora_leaf_spot Gray_leaf_spot,0.267791748,8.944847895,32.65228271,5.476379395,11.53259277
Corn___Common_rust,0.382995605,8.0509237,23.97384644,5.221176147,10.38990021
Corn___Northern_Leaf_Blight,0.023651123,7.98151084,33.08792114,2.870178223,12.159729
Corn___healthy,0,2.098950831,31.38198853,0.578308105,2.649116516
Grape___Black_rot,0,3.31453679,15.59906006,1.594924927,4.46434021
Grape___Esca_(Black_Measles),0.337219238,6.473847429,21.35925293,3.853988647,8.592224121
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0,3.572546948,40.3175354,1.726913452,4.707527161
Grape___healthy,0,0.092324692,1.258850098,0,0.15335083
Orange___Haunglongbing_(Citrus_greening),0,0.291600668,47.92251587,0,0.218963623
Peach___Bacterial_spot,0,4.646513511,47.27325439,0.494384766,2.514648438
Peach___healthy,0,8.157821231,45.51239014,0.166130066,0.630569458
"Pepper,_bell___Bacterial_spot",0,2.676699226,55.93032837,1.03302002,3.414916992
"Pepper,_bell___healthy",0,0.329236765,8.864593506,0.171661377,0.266075134
Potato___Early_blight,0.705718994,8.628707123,63.16146851,5.641174316,10.52112579
Potato___Late_blight,0,4.728823853,67.06771851,0.211334229,5.347061157
Potato___healthy,0,0.069939463,0.633239746,0,0.122070313
Raspberry___healthy,0,0.30230499,46.15936279,0,0.032043457
Soybean___healthy,0,0.156294367,45.28579712,0,0.204467773
Squash___Powdery_mildew,0,0.963763827,15.41442871,0.18081665,1.264953613
Strawberry___Leaf_scorch,0.466156006,7.718725867,63.04244995,4.285430908,9.282684326
Strawberry___healthy,0,0.120233235,3.50112915,0,0.065231323
Tomato___Bacterial_spot,0,1.43921336,56.76040649,0.116348267,1.057052612
Tomato___Early_blight,0,4.704986572,55.50231934,0.917625427,3.872871399
Tomato___Late_blight,0,9.57750867,61.19613647,0.335693359,17.89398193
Tomato___Leaf_Mold,0,5.280517129,54.53491211,0,0.782394409
Tomato___Septoria_leaf_spot,0,3.730643825,47.9309082,0.350952148,1.906204224
Tomato___Spider_mites Two-spotted_spider_mite,0,1.284400831,48.14300537,0,0.237846375
Tomato___Target_Spot,0,0.630090176,44.81735229,0.070762634,0.609970093
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0,1.321188674,51.06735229,0,0.640106201
Tomato___Tomato_mosaic_virus,0,14.77012123,47.07336426,0,38.80081177
Tomato___healthy,0,1.044601738,45.33233643,0,0.263977051
